facility_id,facility_name,facility_type,capacity_numeric,capacity_unit,region,licence_issue_date,inspection_date,latitude,longitude,remarks,date_anomaly
9923.0,"St. Randall, Chandler and Knight",Health Centre,222.0,beds,St. Lucy,2020-04-04,2019-10-18,12.938055555555556,-59.051944444444445,Good,True
97883.0,Roman-Green,Polyclinic,407.0,beds,Christ Church,2016-10-21,2020-10-04,12.93171,-58.74168,Reinspection due,False
53.0,Turner-and-Sons,Polyclinic,226.0,beds,St. James,2023-03-28,2025-07-30,13.254722222222222,-58.861111111111114,Good,False
695.0,Day-Payne,Health Centre,497.0,patients,St. Joseph,2023-01-06,2024-06-22,13.04085,-58.91812,Good,False
,"St Ramirez, Cooper and Stone Hosp.",Hospital,193.0,beds,St. Andrew,2024-12-30,2021-10-24,12.82983,-58.76473,Follow-up 2023,True
,"St Ramirez, Cooper and Stone Hospital",Hospital,193.0,beds,St. Andrew,2024-12-30,2021-10-24,12.82983,-58.76473,Follow-up 2023,True
,Jones-Moon,Health Centre,391.0,units,St. James,2023-10-21,2018-09-20,13.18918,-59.29334,Good,True
46.0,Contreras-Moreno Hospital,Health Centre,99.0,patients,St. Michael,2016-08-28,2024-11-24,13.11947,-58.9958,,False
45.0,Pierce and Sons Polyclinic,Clinic,10.0,beds,St. Peter,2024-11-24,2020-06-01,13.04323,-59.15415,Reinspection due,True
,Jordan-David Infirmary,Community Health Centre,480.0,beds,St. Joseph,2023-05-13,2023-01-19,13.16627,-59.19557,Follow-up 2023,True
5696.0,Rodriguez-Rowe,Hospital,301.0,beds,St. Andrew,2023-10-17,2019-07-25,12.96529,-58.88989,Reinspection due,True
9907.0,Jackson-Jimenez Clin.,Health Centre,80.0,capacity,Christ Church,2023-05-02,2022-05-12,13.206666666666665,-58.72,Follow-up 2023,True
9907.0,Jackson-Jimenez Clinic,Health Centre,80.0,capacity,Christ Church,2023-05-02,2022-05-12,13.206666666666665,-58.72,Follow-up 2023,True
,Alvarez-Brown St.James,Community Health Centre,301.0,cots,St. James,2019-06-13,2025-03-04,13.04233,-58.86532,Reinspection due,False
8588.0,St. Henson-Stevenson Infirmary,Hospital,395.0,cots,St. James,2022-05-07,2019-06-03,13.05808,-59.14849,Reinspection due,True
,Brown LLC,Health Centre,223.0,units,St. Andrew,2017-01-09,2023-11-11,13.11308,-59.08064,Follow-up 2023,False
,St Cox-Moore Medical Center,Health Centre,219.0,units,St. Peter,2025-06-02,2018-04-23,13.04427,-59.02049,Reinspection due,True
,Wilson-Williams,Health Centre,412.0,beds,St. George,2017-05-06,2025-03-14,13.06101,-59.01962,,False
9887.0,st. Stone Ltd Hosp.,Community Health Centre,474.0,beds,St. Michael,2018-06-23,2021-03-07,12.74299,-59.09398,Needs upgrade,False
,Williams Group Hosp.,Health Centre,422.0,units,St. Joseph,2019-08-05,2025-09-20,12.8461,-59.20678,Follow-up 2023,False
,Williams Group Hospital,Health Centre,422.0,units,St. Joseph,2019-08-05,2025-09-20,12.8461,-59.20678,Follow-up 2023,False
56.0,"Webb,-King-and-Logan",Clinic,223.0,patients,St. Michael,2017-12-05,2018-03-19,12.73912,-59.05921,Reinspection due,False
204155.0,Mendoza-Montoya Christ,Community Health Centre,4.0,cots,Christ Church,2019-01-11,2020-01-12,13.07437,-58.83287,,False
68.0,Mercado-Inc Health Centre,Polyclinic,10.0,beds,St. Joseph,2016-06-14,2020-05-04,12.885277777777777,-59.09138888888889,,False
2.0,Thompson-Villanueva Hosp.,Hospital,10.0,beds,St. John,2024-01-12,2025-08-02,12.95905,-58.93751,Reinspection due,False
994.0,"Sims, Morris and Wright",Hospital,149.0,units,St. Michael,2020-03-26,2023-09-04,13.11038,-58.98435,Follow-up 2023,False
9862.0,Wilson-Scott Polyclinic,Health Centre,150.0,beds,St. Michael,2016-01-25,2020-03-02,12.866388888888888,-58.861111111111114,Reinspection due,False
9859.0,"St. Williams, Rogers and Pitts Medical Center",Health Centre,10.0,beds,St. George,2024-02-02,2018-08-13,13.15835,-58.72827,Follow-up 2023,True
864.0,Bates-Myers,Community Health Centre,142.0,cots,St. Joseph,2025-12-29,2023-07-16,12.90594,-59.03447,Reinspection due,True
,"Moore, Hernandez and Thomas St.George",Community Health Centre,308.0,units,St. George,2019-04-02,2021-04-18,12.765,-59.00388888888889,Follow-up 2023,False
9847.0,Williams-Smith Clinic,Health Centre,20.0,beds,Christ Church,2022-10-23,2023-04-10,12.97245,-59.03279,,False
2345.0,"Malone, Jones and Robbins Infirmary",Health Centre,480.0,patients,St. Michael,2023-08-08,2020-11-02,12.96314,-59.03151,Reinspection due,True
9840.0,Moyer Inc Christ,Hospital,308.0,cots,Christ Church,2025-04-21,2021-01-10,13.146388888888888,-58.94416666666666,,True
,Richardson-Inc,Health Centre,140.0,units,St. Joseph,2016-06-08,2023-09-18,13.262777777777778,-58.97805555555556,,False
,Chavez Ltd Hosp.,Hospital,93.0,cots,St. Lucy,2019-09-11,2022-03-03,13.02697,-58.89178,Reinspection due,False
,"Brown,-White-and-Sanchez",Polyclinic,10.0,beds,St. Lucy,2020-12-27,2019-05-26,12.88844,-58.92057,Reinspection due,True
,"Cole, Davis and Gregory",Health Centre,327.0,patients,St. James,2022-10-12,2021-08-23,13.04761,-59.21952,Reinspection due,True
9824.0,"Morales,-Jacobs-and-Simon Hospital Christ",Polyclinic,438.0,beds,Christ Church,2021-04-20,2021-02-07,13.216,-59.03192,Needs upgrade,True
7.0,St. Malone-and-Sons Hosp.,Health Centre,10.0,beds,St. Andrew,2018-09-23,2025-05-30,12.920277777777777,-59.0925,Reinspection due,False
9800.0,St. Miller-and-Sons Polyclinic,Polyclinic,6.0,beds,St. James,2017-07-19,2024-07-28,13.053611111111111,-59.26861111111111,Needs upgrade,False
77.0,"Miller, Hansen and Greene Clinic St.Lucy",Hospital,142.0,beds,St. Lucy,2021-11-08,2021-06-26,12.74908,-58.75456,Needs upgrade,True
,Tucker Ltd St.George,Clinic,485.0,patients,St. George,2022-10-06,2021-09-22,13.28579,-58.85017,,True
734.0,Smith-Davenport Hosp. ST. NewLine,Health Centre,10.0,beds,St. Joseph,2024-11-10,2024-06-21,12.779722222222222,-59.16638888888889,Reinspection due,True
9785.0,st. Duran-LLC,Hospital,471.0,units,St. Peter,2019-01-26,2018-05-17,13.266388888888889,-59.07916666666667,Follow-up 2023,True
9779.0,"st. Lee, Hall and Newman Health Centre",Health Centre,329.0,cots,St. Peter,2023-03-09,2024-09-07,13.14957,-59.25301,Reinspection due,False
,"St. Jimenez, Ortiz and Wilson",Clinic,284.0,patients,St. John,2022-12-07,2025-05-26,13.21514,-58.82988,,False
,"Abbott, Lowery and Parrish Medical Center",Polyclinic,132.0,beds,St. Joseph,2019-12-17,2024-10-11,12.73557,-59.00063,,False
,"Chapman, Hall and Gardner Infirmary",Health Centre,105.0,units,St. Michael,2022-04-11,2022-01-17,12.88999,-59.17603,Needs upgrade,True
,"Kelly, Cervantes and Salinas",Community Health Centre,417.0,beds,St. George,2016-12-03,2019-09-19,12.70497,-59.19715,Follow-up 2023,False
721.0,Cruz Ltd Health Centre ST.,Health Centre,10.0,beds,St. Joseph,2024-12-27,2021-06-13,13.06407,-58.70674,Follow-up 2023,True
95.0,"st. Ray, Smith and Turner Hosp.",Health Centre,345.0,patients,St. Lucy,2016-06-05,2021-01-10,13.07508,-58.70656,Good,False
94.0,St. Fox Ltd,Clinic,191.0,patients,St. Peter,2016-05-06,2021-10-06,12.95493,-59.11045,Needs upgrade,False
,st. Cole-Inc Hospital,Polyclinic,167.0,beds,St. Joseph,2019-12-13,2020-09-30,13.15694,-58.86443,,False
89.0,St. Snyder-Morales Medical Center,Clinic,166.0,patients,St. Joseph,2021-11-03,2018-12-26,12.744444444444444,-59.1075,Good,True
,"Williams, Sanders and Turner Health Centre",Health Centre,310.0,beds,St. John,2019-07-31,2024-09-25,12.88486,-58.98132,Follow-up 2023,False
,"Thompson,-Williams-and-Spears",Hospital,33.0,units,St. James,2021-09-01,2018-03-20,12.91448,-58.7713,Needs upgrade,True
9768.0,James-Group Hosp.,Health Centre,445.0,units,St. Peter,2025-11-28,2022-11-04,13.05149,-59.02152,Reinspection due,True
,st. Pearson-Collins Health Centre,Health Centre,168.0,beds,St. James,2023-07-15,2019-07-28,12.87934,-59.00827,Good,True
9748.0,Lynch Group Medical Center,Clinic,315.0,beds,St. John,2016-03-30,2024-09-02,13.00413,-59.07425,,False
9745.0,King-and-Sons,Clinic,208.0,cots,St. James,2024-07-08,2024-10-30,12.80985,-58.81781,Follow-up 2023,False
104.0,St George Ltd Clinic,Health Centre,71.0,cots,St. Andrew,2018-05-24,2024-08-11,13.05713,-58.87857,Reinspection due,False
427288.0,"Johnson, Miller and Flores ST.",Polyclinic,85.0,beds,St. Michael,2020-07-28,2020-03-11,13.23448,-59.04058,Follow-up 2023,True
9739.0,St Eaton-Mcdaniel Health Centre,Clinic,10.0,beds,St. George,2018-12-18,2024-10-21,13.29725,-58.98588,Needs upgrade,False
,"Davis, Gross and Johnson Health Centre ST.",Clinic,99.0,patients,St. Peter,2024-07-21,2023-11-24,12.75904,-59.10767,,True
9726.0,Wall Inc,Clinic,21.0,units,St. Lucy,2017-01-17,2025-06-21,13.14961,-59.27245,Good,False
9723.0,"st. Parsons, Norman and Dominguez Hosp.",Community Health Centre,383.0,beds,St. Joseph,2018-01-14,2025-11-22,12.755277777777778,-58.74166666666667,Needs upgrade,False
9723.0,"st. Parsons, Norman and Dominguez Hospital",Community Health Centre,383.0,beds,St. Joseph,2018-01-14,2025-11-22,12.755277777777778,-58.74166666666667,Needs upgrade,False
538.0,"Scott, Deleon and Campbell Medical Center St.George",Polyclinic,162.0,beds,St. George,2016-07-18,2024-03-06,13.1494,-59.22685,Needs upgrade,False
,Davenport-Freeman,Community Health Centre,421.0,beds,St. George,2022-04-24,2024-02-18,12.9449,-59.05015,,False
9713.0,"Drake,-Jackson-and-Rodriguez Polyclinic",Hospital,7.0,capacity,St. Peter,2025-04-14,2018-02-14,13.25942,-59.25914,Follow-up 2023,True
9709.0,Bryant-Inc Hospital,Health Centre,10.0,beds,St. Peter,2019-10-01,2020-04-21,13.20261,-59.13511,Good,False
,"Dominguez, Phillips and Wagner Infirmary",Health Centre,4.0,units,St. Lucy,2021-05-05,2022-04-03,13.07555,-59.24906,Reinspection due,False
9697.0,St. Reynolds Group,Polyclinic,90.0,beds,St. Peter,2024-11-09,2023-04-22,13.22997,-58.84117,Good,True
9696.0,Khan-Kirby Clinic CHRIST,Health Centre,482.0,patients,Christ Church,2025-01-15,2020-11-03,12.98055,-58.70673,Reinspection due,True
9691.0,"Berry, Mullen and Wilcox Hospital",Hospital,416.0,capacity,St. John,2019-03-27,2025-06-10,12.81723,-58.92755,Reinspection due,False
9686.0,Booker LLC St.Michael,Polyclinic,10.0,beds,St. Michael,2016-07-30,2024-02-21,12.86328,-58.89331,Needs upgrade,False
116.0,St. Harrison-White,Health Centre,28.0,beds,St. John,2022-08-14,2021-03-24,12.73681,-59.2131,Needs upgrade,True
114.0,"Walsh,-Garcia-and-Knox",Clinic,314.0,units,St. James,2017-04-30,2024-06-08,13.12108,-58.7848,Reinspection due,False
111.0,St. Hardy-Contreras,Health Centre,10.0,beds,St. Peter,2020-12-14,2021-10-03,13.280833333333334,-59.13138888888889,Good,False
9683.0,St. James-Rice Polyclinic,Hospital,135.0,beds,St. John,2016-01-23,2022-04-30,13.21781,-58.73441,Good,False
9679.0,Contreras-Mahoney Hosp.,Health Centre,283.0,capacity,St. Lucy,2021-03-15,2019-09-23,12.96821,-58.99873,Good,True
,Morales Group Health Centre ChristChurch,Clinic,297.0,beds,Christ Church,2024-01-13,2025-04-04,12.84415,-59.20009,Good,False
9674.0,Powell Ltd,Health Centre,10.0,beds,St. James,2019-05-06,2022-05-15,13.20137,-58.86528,,False
9671.0,Butler-Haney,Community Health Centre,10.0,beds,St. John,2021-11-12,2021-03-11,13.13413,-59.05518,,True
9660.0,"Hernandez, Davis and Hartman Clinic Christ",Hospital,255.0,beds,Christ Church,2024-09-16,2023-02-09,13.29615,-58.70793,Follow-up 2023,True
9659.0,"Reed, Rodgers and Rodriguez",Health Centre,109.0,beds,St. James,2019-01-18,2018-11-22,12.73565,-58.90339,Needs upgrade,True
9656.0,St. Hamilton and Sons,Polyclinic,354.0,cots,St. Joseph,2019-06-18,2022-06-01,13.17817,-59.29234,Good,False
9651.0,"Davis, Flynn and Jenkins",Community Health Centre,102.0,cots,St. Joseph,2023-11-14,2022-04-18,13.00396,-59.17363,Good,True
9646.0,"St Bowen,-Weaver-and-Kramer Medical Center",Hospital,10.0,beds,St. Joseph,2017-06-14,2025-06-13,12.97384,-59.17271,Follow-up 2023,False
9644.0,"Vazquez, Johnson and Santos Hospital Christ",Hospital,275.0,beds,Christ Church,2025-08-19,2025-06-17,12.84081,-59.07664,,True
,Brown-Lucas Clinic,Polyclinic,422.0,capacity,St. James,2018-12-23,2018-12-08,12.90411,-58.84414,Reinspection due,True
134.0,Kerr-Vincent,Community Health Centre,10.0,beds,St. George,2020-12-07,2025-06-19,12.90485,-58.8163,Reinspection due,False
132.0,Peterson PLC Clinic,Health Centre,292.0,cots,St. George,2023-06-07,2021-04-07,13.20252,-59.17851,Needs upgrade,True
123.0,Stewart-Webb Christ,Health Centre,10.0,beds,Christ Church,2018-11-16,2019-10-13,13.239999999999998,-59.25222222222222,Good,False
9641.0,Parks Inc St. Joseph,Polyclinic,172.0,beds,St. Joseph,2021-11-29,2025-05-19,12.80285,-58.8444,Follow-up 2023,False
9638.0,Morris LLC Hosp. ChristChurch,Hospital,374.0,cots,Christ Church,2022-12-02,2021-05-08,12.8954,-59.1227,,True
,"Hardy, Hart and Valdez Health Centre",Health Centre,487.0,beds,St. George,2016-10-23,2020-03-02,12.9476,-59.18217,Needs upgrade,False
,st. Jones LLC Clinic,Community Health Centre,260.0,beds,St. Andrew,2022-05-03,2023-10-05,12.79928,-58.87342,,False
9629.0,Carson-Zavala Polyclinic,Polyclinic,52.0,capacity,St. John,2019-02-18,2020-10-06,13.10034,-59.06397,Reinspection due,False
9619.0,St. Hess-Irwin Polyclinic,Hospital,135.0,beds,St. Michael,2020-01-19,2024-06-01,12.87618,-58.8954,,False
9608.0,Harrell PLC Hosp.,Health Centre,10.0,beds,St. Joseph,2021-03-12,2018-05-21,13.1233,-59.18783,,True
73931.0,Graham Inc Christ,Health Centre,10.0,beds,Christ Church,2017-01-26,2025-07-30,13.15818,-58.70289,,False
9599.0,"St. Butler,-Mueller-and-Dickerson Infirmary",Community Health Centre,10.0,beds,St. John,2019-03-04,2022-03-05,12.95075,-58.7958,Needs upgrade,False
9592.0,Wallace-Page,Hospital,136.0,beds,St. James,2023-12-16,2024-07-24,12.79388,-58.99036,Good,False
,Adams-Anderson,Clinic,273.0,capacity,St. Andrew,2024-02-28,2021-03-06,12.87856,-59.04716,Reinspection due,True
9583.0,Blankenship-Martin Hosp. Christ,Polyclinic,182.0,patients,Christ Church,2020-07-26,2019-07-30,13.275,-58.825,Follow-up 2023,True
,Gordon-Lozano Infirmary,Community Health Centre,417.0,beds,St. Michael,2016-11-15,2019-10-22,12.843611111111112,-59.22555555555556,Reinspection due,False
143.0,Parker-Inc Clinic,Health Centre,345.0,beds,Christ Church,2016-02-02,2022-03-23,12.96476,-58.79975,Follow-up 2023,False
6688.0,St. Good-Bailey Medical Center,Polyclinic,314.0,patients,St. John,2019-06-28,2025-06-07,12.77955,-59.19385,Follow-up 2023,False
,Brooks-Williams,Hospital,275.0,cots,St. James,2016-06-29,2025-03-28,13.24493,-58.73839,Reinspection due,False
28121.0,"Hernandez,-Lee-and-Brown Infirmary",Health Centre,392.0,cots,St. Joseph,2018-09-05,2018-05-19,13.03842,-58.7621,Needs upgrade,True
9573.0,"St. Scott, Roth and Williams",Polyclinic,317.0,beds,St. George,2023-12-23,2025-01-01,12.98231,-59.02741,Good,False
9566.0,Lawrence-Silva Health Centre ST.,Health Centre,10.0,beds,St. Michael,2021-03-07,2019-06-05,13.20376,-59.2305,,True
9565.0,"Cook, Snow and Hernandez Polyclinic",Community Health Centre,485.0,capacity,St. George,2025-10-23,2022-01-03,13.20765,-58.93772,Good,True
9058.0,Hernandez Inc,Health Centre,119.0,beds,St. Andrew,2016-03-30,2024-03-28,13.1765,-59.23545,Reinspection due,False
9559.0,Conley-Trujillo,Community Health Centre,71.0,beds,St. Michael,2017-11-14,2019-07-23,12.85006,-58.99502,,False
9546.0,Williams-Nicholson Medical Center,Hospital,475.0,patients,St. Joseph,2018-06-09,2025-01-21,12.77259,-59.22375,Good,False
,Johnson-Lynn Medical Center CHRIST,Hospital,380.0,beds,Christ Church,2016-07-06,2024-04-11,13.24778,-58.82309,Follow-up 2023,False
9541.0,Davis-Blankenship Polyclinic,Health Centre,10.0,beds,Christ Church,2024-02-03,2025-10-09,12.72116,-59.23793,Reinspection due,False
162.0,Cooper-Gardner Medical Center,Hospital,46.0,beds,St. Joseph,2017-10-24,2021-03-28,12.75936,-58.89165,Follow-up 2023,False
158.0,Lewis-Hernandez ST.,Health Centre,95.0,beds,St. Lucy,2017-10-17,2022-05-17,12.80165,-58.99437,Reinspection due,False
155.0,Graves and Sons,Health Centre,129.0,beds,St. Michael,2023-12-05,2020-11-08,13.29619,-58.79872,,True
9539.0,Brewer-Group,Hospital,364.0,beds,St. John,2021-06-12,2024-01-07,12.74291,-58.81332,,False
9537.0,Hall-LLC Hosp. Christ,Health Centre,200.0,units,Christ Church,2024-08-24,2022-01-29,12.94929,-59.03743,Follow-up 2023,True
9536.0,"St. Watson,-Blankenship-and-Duran Polyclinic",Health Centre,406.0,beds,St. Peter,2020-10-10,2025-12-03,13.0145,-59.10442,Needs upgrade,False
9535.0,"Johns, Rodriguez and Jackson",Polyclinic,283.0,beds,St. Lucy,2018-05-06,2020-01-05,12.85093,-59.17161,Reinspection due,False
9524.0,Banks-West Clinic,Polyclinic,136.0,beds,St. George,2023-05-29,2020-10-31,12.93045,-58.9376,Good,True
,"st. Blackburn, Knight and Franklin Health Centre",Community Health Centre,484.0,capacity,St. Michael,2024-05-30,2021-04-08,12.98128,-59.15765,Needs upgrade,True
9519.0,Brown Inc Hospital,Hospital,161.0,units,St. John,2016-05-30,2019-01-23,12.79283,-59.24712,Good,False
29265.0,Long LLC,Community Health Centre,184.0,beds,St. James,2020-07-29,2024-05-10,12.79257,-59.28226,Needs upgrade,False
,St. Ramirez-Huang Polyclinic,Polyclinic,310.0,beds,St. Lucy,2018-05-08,2023-08-13,13.12025,-59.23336,Needs upgrade,False
,Garcia-Group Infirmary,Hospital,298.0,patients,St. Peter,2017-04-19,2020-05-24,12.77417,-58.82748,Follow-up 2023,False
8210.0,"Ruiz, Peterson and Luna Clinic",Hospital,67.0,cots,St. James,2024-06-17,2024-07-15,12.70225,-58.98911,,False
,"Huff, Rodriguez and Williams Health Centre",Clinic,35.0,capacity,St. Peter,2017-09-26,2022-12-03,12.973888888888888,-59.155833333333334,Good,False
,Smith-Richard Hosp. ST.,Clinic,84.0,units,St. John,2022-01-16,2022-03-29,12.81167,-58.78371,Follow-up 2023,False
9488.0,"Ramirez, Brown and Clark",Community Health Centre,387.0,units,St. Michael,2025-07-23,2018-07-05,13.08359,-58.95853,Reinspection due,True
38069.0,"Sanders, Johnson and Jennings",Clinic,19.0,capacity,St. James,2024-04-26,2023-09-23,12.72368,-58.95986,Good,True
174.0,Peterson Inc,Hospital,369.0,cots,St. George,2025-04-13,2022-07-03,13.231388888888889,-59.14805555555556,,True
8588.0,"Anderson, Howard and Johnson Hosp.",Hospital,10.0,beds,St. Michael,2024-12-06,2025-03-06,12.91079,-59.15274,,False
8588.0,"Anderson, Howard and Johnson Hospital",Hospital,10.0,beds,St. Michael,2024-12-06,2025-03-06,12.91079,-59.15274,,False
,Reid-Group Clinic,Hospital,173.0,cots,St. George,2023-03-07,2025-05-12,12.895833333333332,-59.03638888888889,Follow-up 2023,False
,"Lopez, Dawson and Stewart Health Centre",Health Centre,10.0,beds,St. Joseph,2025-01-16,2025-10-13,12.91861111111111,-58.955000000000005,Needs upgrade,False
9461.0,"Velazquez, Thompson and Harris",Hospital,280.0,beds,St. James,2017-05-23,2025-06-12,13.17893,-59.28267,,False
888.0,St. Shepherd-Williams Clinic,Health Centre,10.0,beds,St. Lucy,2022-07-11,2023-06-05,12.8423,-58.70002,Reinspection due,False
9457.0,"St. Simon, Freeman and Fowler",Health Centre,30.0,beds,St. Andrew,2021-07-17,2021-03-15,13.20011,-58.91533,Reinspection due,True
9455.0,Fernandez-PLC Hosp. ST.,Polyclinic,291.0,beds,St. Joseph,2018-12-28,2022-04-11,12.911111111111111,-58.75222222222222,Reinspection due,False
9455.0,Fernandez-PLC Hospital ST.,Polyclinic,291.0,beds,St. Joseph,2018-12-28,2022-04-11,12.911111111111111,-58.75222222222222,Reinspection due,False
,"St. Mclean,-Montgomery-and-Mueller",Polyclinic,117.0,beds,St. Joseph,2020-11-11,2024-08-04,13.16047,-59.13176,,False
92.0,Howard Inc Polyclinic ST.,Clinic,338.0,capacity,St. Andrew,2019-01-13,2018-07-03,12.85297,-59.25959,Good,True
,"Thomas,-Hernandez-and-Turner Hosp.",Hospital,10.0,beds,St. Joseph,2024-06-02,2021-05-12,13.04111111111111,-59.14888888888889,,True
,Reeves Inc,Hospital,280.0,capacity,St. Andrew,2016-05-08,2024-11-21,13.1023,-58.77721,Reinspection due,False
197.0,St. Reed Group,Health Centre,137.0,capacity,St. George,2021-08-09,2018-12-17,13.19605,-58.95608,Good,True
,Johnson-Martinez ST.,Polyclinic,131.0,units,St. Peter,2018-03-21,2025-03-10,12.73095,-59.28849,Needs upgrade,False
187.0,Rhodes and Sons ST.,Hospital,215.0,beds,St. Lucy,2023-09-15,2023-09-06,13.13166,-58.75448,Needs upgrade,True
,"Nelson, Walters and Olson Hospital",Health Centre,237.0,beds,St. James,2022-05-10,2024-03-27,13.16904,-58.75605,Reinspection due,False
9438.0,Moyer-Flowers Infirmary,Health Centre,363.0,beds,St. Peter,2016-04-19,2024-05-19,13.03605,-58.77765,Reinspection due,False
,St. Cruz-LLC,Health Centre,25.0,beds,St. George,2024-09-08,2019-09-18,12.95237,-59.14217,Needs upgrade,True
9430.0,St Neal-Lindsey Medical Center,Hospital,79.0,units,St. Joseph,2023-04-01,2019-04-17,12.92022,-59.27669,Reinspection due,True
62496.0,Barrera Group ST.,Health Centre,160.0,patients,St. John,2024-07-28,2019-02-15,13.043333333333333,-59.18722222222222,Good,True
,Hughes Group Medical Center,Clinic,125.0,units,St. James,2025-08-30,2018-11-05,13.11714,-58.8252,Reinspection due,True
9421.0,St. Wilson-Reed Clinic,Clinic,153.0,cots,St. Michael,2020-02-06,2020-07-27,13.175833333333333,-59.17666666666666,Follow-up 2023,False
9413.0,Wade PLC ycuL,Health Centre,211.0,beds,St. Lucy,2016-04-17,2023-02-02,12.91942,-59.14938,Follow-up 2023,False
205.0,St Wheeler-PLC Infirmary,Community Health Centre,96.0,capacity,St. John,2020-03-12,2022-03-12,12.909444444444444,-59.04972222222222,Reinspection due,False
16.0,Smith-Carlson Clin.,Clinic,39.0,units,St. Andrew,2017-04-22,2024-05-17,13.27582,-58.86276,Reinspection due,False
